Date,Open,High,Low,Close,Volume
2018-06-06,7180.24,7212.45,7140.91,7210.08,377887931
2018-06-07,7212.43,7212.43,7115.86,7152.83,401427586
2018-06-08,7121.76,7161.92,7100.73,7152.62,334755172
2018-06-11,7149.65,7187.45,7146.09,7168.48,334989655
2018-06-12,7181.67,7214.49,7173.76,7209.18,345993103
2018-06-13,7219.57,7261.17,7193.02,7205.26,374615517
2018-06-14,7233.7,7291.31,7233.7,7279.59,377281034
2018-06-15,7245.16,7268.84,7220.97,7255.76,524791379
2018-06-18,7201.18,7256.43,7186.16,7251.41,361025862
2018-06-19,7158.8,7229.98,7138.02,7228.04,391206897
2018-06-20,7264.85,7309.99,7256.87,7280.71,397431034
2018-06-21,7304.06,7308.26,7203.93,7217.49,399289655
2018-06-22,7239.72,7239.75,7177.46,7197.51,677300000
2018-06-25,7131.05,7144.29,6976.97,7038.17,416394828
2018-06-26,7061.23,7108.45,7040.06,7068.2,354937931
2018-06-27,7096.61,7128.77,6968.3,6969.67,394212069
2018-06-28,6963.37,7055.25,6950.23,7031.6,378517241
2018-06-29,7071.49,7101.82,7031.4,7040.8,377932759
2018-07-02,6979.54,7099.27,6969.16,7097.82,304812069
2018-07-03,7121.72,7122.45,7009.51,7014.55,203329310
2018-07-05,7064,7105.54,7025.25,7101.05,300867241
2018-07-06,7114.18,7217,7106.1,7207.33,293893103
2018-07-09,7251.11,7277.44,7222.21,7276,316781034
2018-07-10,7287.06,7297.79,7257.48,7282.6,297450000
2018-07-11,7221.66,7271.12,7220.23,7243.98,303693103
2018-07-12,7276.38,7368.72,7274.16,7366.25,332087931
2018-07-13,7372.28,7387.74,7348.96,7375.82,295541379
2018-07-16,7381.03,7390.64,7346.34,7357.9,298308621
2018-07-17,7291.48,7418.43,7288.3,7403.89,300117241
2018-07-18,7407.25,7411.25,7368.36,7390.13,320287931
2018-07-19,7364.66,7388.99,7344.33,7352.36,319487931
2018-07-20,7379.13,7398.59,7343.37,7350.23,307974138
2018-07-23,7335.42,7376.82,7301.34,7371.78,285222414
2018-07-24,7455.51,7475.99,7375.74,7406.25,347387931
2018-07-25,7406.1,7511.39,7405.64,7508.59,327550000
2018-07-26,7404.56,7430.12,7385.72,7400.75,381563793
2018-07-27,7443.24,7443.24,7255.32,7296.78,375201724
2018-07-30,7292.72,7299.08,7158.78,7193.1,369553448
2018-07-31,7219.67,7272.96,7179.41,7231.98,378456897
2018-08-01,7269.2,7294.8,7234.65,7272.89,383370690
2018-08-02,7221.35,7380.56,7221.35,7372.15,358844828
2018-08-03,7389.36,7395.49,7356.34,7395.49,348051724
2018-08-06,7390.82,7439.55,7381.58,7439,385891379
2018-08-07,7459.32,7478.96,7443.88,7462.65,378894828
2018-08-08,7454.42,7486.22,7435.77,7469.55,359974138
2018-08-09,7467.51,7498.37,7458.57,7466.96,350508621
2018-08-10,7409.05,7436.69,7382.83,7408.3,361237931
2018-08-13,7420.18,7468.82,7398.53,7401.17,330041379
2018-08-14,7430.45,7455.42,7390,7447.17,330579310
2018-08-15,7385.67,7409.48,7308.52,7354.66,394303448
2018-08-16,7409.61,7422.83,7361.88,7374.3,341300000
2018-08-17,7352.63,7394.94,7312.65,7377.54,317784483
2018-08-20,7393.57,7395.75,7343.47,7371.42,292925862
2018-08-21,7393.47,7441.42,7388.38,7397.23,304591379
2018-08-22,7379.84,7434.48,7374.69,7424.6,286286207
2018-08-23,7420.31,7465.87,7405.4,7413.84,324118966
2018-08-24,7443.72,7489.54,7442.99,7485.4,325275862
2018-08-27,7527.37,7560.76,7512.02,7559.13,399850000
2018-08-28,7580.86,7588.72,7556.72,7570.25,338155172
2018-08-29,7585.13,7661.95,7583.52,7660.18,327068966
2018-08-30,7645.11,7691.1,7619.73,7642.67,347318966
2018-08-31,7634.43,7676.46,7628.54,7654.55,327570690
2018-09-04,7629.34,7643.45,7581.35,7622.32,384400000
2018-09-05,7600.95,7607.18,7498.38,7523.26,447720690
2018-09-06,7527.22,7532.3,7405.32,7453.17,408393103
2018-09-07,7402.19,7489.4,7400.99,7430.26,370065517
2018-09-10,7466.76,7473.75,7410.74,7447.68,351974138
2018-09-11,7415.09,7519.45,7401.72,7507.87,402862069
2018-09-12,7493.38,7501.24,7422.91,7488.06,403767241
2018-09-13,7535.23,7578.77,7531.66,7561.69,399779310
2018-09-14,7575.38,7581.3,7515.04,7545.5,350124138
2018-09-17,7522.59,7533.92,7427.79,7434.73,393817241
2018-09-18,7440.86,7531.2,7436.54,7494.4,399653448
2018-09-19,7498.24,7513.34,7441.56,7490.32,371850000
2018-09-20,7534.02,7582.43,7523.87,7569.04,394336207
2018-09-21,7587.39,7603.86,7522.12,7531.07,639106897
2018-09-24,7477.45,7554.95,7447.23,7548.75,416617241
2018-09-25,7552.02,7568.17,7525.19,7563.19,394506897
2018-09-26,7563.96,7637.62,7553.26,7563.09,394953448
